id,duration,distance,calories,heart_rate,avg_altitude,max_altitude,ascent,descent,number_of_hills,distance_between_hills,number_of_intervals,average_interval_duration,longest_interval,activity_type
1,11319.0,29042.71,1520,131.67822647410543,430.2191200822783,,1873.2000427246094,1865.2000427246094,12,29021.206147599158,13,658.0,2155.0,Biking
10,4093.0,15277.12,361,133.92461781760676,44.90179232238906,,472.2000002861023,467.40000104904175,5,15277.12,5,564.8,1240.0,Biking
100,9988.0,37684.17,968,150.2085613131638,845.4083901658972,,1352.39990234375,1342.9998779296875,13,37663.92516415911,9,772.0,1633.0,Biking
101,1622.0,7772.03,152,122.970498474059,710.8858596631009,,221.7999267578125,209.5999755859375,2,7769.317107050817,5,255.6,447.0,Biking
102,1405.0,3741.34,138,131.70324748040315,145.11982070051408,,220.20000457763672,217.8000030517578,2,3738.4801496463297,2,505.5,1010.0,Biking
104,2756.0,9973.490000000002,366,138.1487964989059,364.55188684781854,,334.2001647949219,190.00015258789062,4,9966.315357059277,2,722.5,1014.0,Biking
105,5764.0,18550.079999999998,487,132.96870109546165,1433.3176155335757,,714.9998779296875,703.39990234375,7,18543.715833756403,10,308.8,689.0,Biking
106,8181.0,27760.65,663,131.61800818553888,406.3183165067785,,932.1998596191406,914.3998413085938,9,27753.408686569943,14,317.7142857142857,1073.0,Biking
107,6276.0,21954.18,1010,171.2467094161323,250.22068132047872,,1133.1999969482422,1127.8000030517578,14,21953.696796613483,4,1498.0,3051.0,Biking
108,3402.0,9726.27,564,151.7706945765937,791.0647006338829,,284.599853515625,276.1998291015625,3,9721.180789494161,8,255.25,812.0,Running
110,10543.0,40910.69000000001,1190,133.00758725341427,57.34089012630848,,1040.8000285327435,1035.8000285327435,14,40901.77932754768,19,307.94736842105266,1250.0,Biking
111,8260.0,28614.25,1226,143.32393514036787,761.7564849207972,,1371.2001647949219,1364.6001281738281,10,28597.25396183202,13,373.7692307692308,1185.0,Biking
112,7558.0,1545.37,35,107.52734375,629.3300317304311,,20.60009765625,18.2000732421875,0,1545.37,6,1169.0,6278.0,Biking
113,1716.0,9847.87,153,122.92980295566502,246.2948281424386,,169.8000030517578,154.40000915527344,1,9845.804585268144,2,681.0,1337.0,Biking
114,10421.0,35808.310000000005,784,133.682848566401,391.51851803229073,,1197.2000732421875,1192.2000732421875,15,35788.8644415678,18,317.6666666666667,1079.0,Biking
115,1154.0,3153.5,147,128.22067767158993,866.2199127329376,,163.800048828125,158.800048828125,1,3153.099433954919,2,389.0,434.0,Biking
116,29536.0,81039.42,1657,127.10593089221248,604.5792325297302,,2691.8001098632812,2552.60009765625,16,80965.20876164372,32,352.34375,2411.0,Biking
117,3145.0,6286.24,293,131.06327616794795,758.9298286415456,,453.80010986328125,442.40008544921875,4,6279.909230778431,4,612.25,1609.0,Biking
118,45.0,10.99,1,70.42857142857143,773.7999877929688,,0,0,0,10.99,1,5.0,5.0,Biking
119,3448.0,7228.23,389,149.2496709082931,854.8023691817615,,476.60003662109375,463.800048828125,3,7219.194777747732,6,353.6666666666667,683.0,Biking
120,8667.0,34724.57,902,148.31893649135029,737.87249518465,,1486.60009765625,1468.2000732421875,20,34645.19418756758,12,416.3333333333333,1512.0,Biking
121,8523.0,28097.46,771,147.14718019257222,123.78192568625512,,1004.9999923706055,1073.1999893188477,14,28056.05060449072,10,443.5,1166.0,Biking
122,7467.0,21638.39,657,152.59628084810566,203.46072311852183,,977.0000305175781,972.8000335693359,15,21624.97741048637,7,497.7142857142857,957.0,Biking
124,7459.0,31479.390000000003,661,146.34785734828876,727.0182630458302,,1101.0003051757812,1101.0003051757812,9,31471.197478296013,8,362.875,545.0,Biking
125,99.0,10.96,3,82.14285714285714,768.7999877929688,,0,0,0,10.96,2,33.0,66.0,Biking
126,3880.0,190.19,391,142.51730822486846,746.5999755859375,,0,0,0,190.19,6,306.5,611.0,Biking
127,5401.0,15754.66,626,152.82177299703264,835.0314540240461,,986.2000122070312,1067.4000244140625,15,15738.42464689651,7,378.7142857142857,1341.0,Biking
128,6026.0,25701.19,714,122.6040313176745,676.1467064591176,,782.9999084472656,769.9999084472656,3,25699.000204135435,9,500.44444444444446,1884.0,Biking
13,9960.0,68223.42,960,142.34553823621718,137.56280350323033,,1554.8000583648682,1550.600058555603,10,68203.72044734107,6,810.3333333333334,1197.0,Biking
130,8932.0,20265.539999999997,669,140.88775062198155,206.07036460497955,,1027.5999908447266,1027.5999908447266,16,20255.43500498578,9,482.55555555555554,1666.0,Biking
131,4952.0,18693.78,532,146.50020234722786,619.3476938784701,,306.79998779296875,425.20001220703125,4,18671.902778166637,3,922.3333333333334,2443.0,Biking
132,2210.0,164.49,211,125.6234309623431,1423.9238735821457,,8.5999755859375,0,0,164.49,2,573.5,665.0,Biking
133,6527.0,22822.300000000003,561,138.49794039253695,715.8421835096368,,1032.0,1028.2000122070312,7,22811.538445634236,11,288.1818181818182,571.0,Biking
134,8154.0,18000.54,846,136.34514730073278,1905.2189393216759,,918.0003662109375,914.400390625,10,17991.198330706968,23,189.82608695652175,796.0,Biking
135,5265.0,14111.03,659,137.2264291017075,1516.6669134938045,,575.7989501953125,570.39892578125,4,14110.970992842016,8,427.0,923.0,Biking
137,5630.0,12386.91,598,144.43342299932752,861.9233362317166,,816.60009765625,817.2000732421875,6,12367.544429124178,4,1214.5,1939.0,Biking
138,5453.0,34544.05,460,130.34355444305382,649.8214953651309,,690.599853515625,679.7998657226562,6,34527.72393820484,6,659.0,2374.0,Biking
139,13349.0,66623.88,2010,138.8191249436175,696.039610602561,,1786.8003234863281,1776.4003601074219,10,66598.20931164407,22,462.27272727272725,1813.0,Biking
14,3256.0,10859.45,277,131.94705469845724,481.592075984575,,299.80010986328125,310.60009765625,3,10857.021223664799,7,271.14285714285717,545.0,Biking
141,7086.0,29801.02,655,149.25299069561365,686.0372371677806,,1234.1999816894531,1235.1999816894531,7,29781.133949628183,8,472.625,1216.0,Biking
142,5568.0,25612.190000000002,1023,172.03713670613564,1424.8501611661004,,935.0,931.800048828125,5,25612.135609282384,5,673.0,719.0,Biking
144,8550.0,31635.629999999997,727,145.10972308973558,358.4278403800872,,1055.7999877929688,1053.3999633789062,12,31593.845121367736,9,443.3333333333333,785.0,Biking
145,1505.0,8729.34,141,122.27296937416777,-12.319494439158849,,88.19999885559082,89.79999923706055,0,8729.34,2,690.0,1160.0,Biking
146,4672.0,16636.25,610,130.08003811338733,237.2748571704683,,673.3999481201172,662.9999389648438,8,16630.89575611135,9,285.3333333333333,496.0,Biking
147,3155.0,20927.0,284,123.72098214285714,626.5964555539695,,400.3999938964844,394.3999938964844,1,20918.881572912105,4,640.5,1906.0,Biking
148,4912.0,19431.61,757,172.10006151322534,205.74275154644087,,1068.199966430664,1076.7999572753906,15,19431.604119068787,2,2181.0,3677.0,Biking
149,2121.0,12354.57,231,120.67436380772855,53.76248824742467,,126.9999885559082,121.79999160766602,0,12354.57,2,776.0,1550.0,Biking
15,2185.0,12683.7,183,118.22676579925651,458.2218091697646,,115.20004272460938,114.800048828125,0,12683.7,3,606.3333333333334,1125.0,Biking
152,1504.0,92.78,151,128.67153284671534,748.6364839651288,,8.20001220703125,0,0,92.78,2,362.0,437.0,Biking
153,828.0,2165.54,78,128.05330490405117,810.9385930368387,,107.800048828125,99.800048828125,1,2164.7779987790495,3,167.33333333333334,327.0,Biking
154,8602.0,32857.33,813,142.8796776050662,379.9971643352874,,1192.9998931884766,1190.1999053955078,10,32836.09502812208,17,289.05882352941177,1147.0,Biking
155,8059.0,20273.91,623,142.646799452638,887.6061354923364,,838.0003051757812,787.4003295898438,8,20268.56223142036,8,410.75,2274.0,Biking
156,5634.0,16192.98,593,115.62757300143609,873.5079689677345,,746.4000244140625,738.4000244140625,9,16187.011094758484,11,369.72727272727275,1623.0,Biking
157,9301.0,64144.61,784,133.91462886821034,202.15483590275923,,1069.2000045776367,1061.599998474121,10,64122.28402581711,20,268.05,539.0,Biking
158,7751.0,60093.99,630,131.7085020242915,293.30221047619926,,590.0001373291016,587.8001556396484,5,60086.89044492815,13,424.84615384615387,1542.0,Biking
159,3411.0,151.04999999999998,495,152.40801403919275,787.5763263178457,,18.199951171875,15.59991455078125,0,151.04999999999998,4,423.0,685.0,Biking
16,4241.0,84.92,457,127.13861132462209,763.7767374799583,,26.60015869140625,24.400146484375,0,84.92,2,1302.5,2605.0,Biking
160,2831.0,330.16,231,123.28202288667406,766.7160781516761,,2.20001220703125,0,0,330.16,3,725.0,1571.0,Biking
162,1215.0,4969.3,180,165.1956241956242,71.15675700125087,,160.8000030517578,159.20000076293945,1,4968.306532405566,3,283.3333333333333,607.0,Biking
163,4512.0,12648.07,436,135.47439893143365,853.0124666752395,,761.0000610351562,765.6000366210938,6,12644.182655064398,3,1386.6666666666667,3226.0,Biking
164,7483.0,27363.84,659,138.81253391209984,847.8629408043103,,1298.2000122070312,1298.7999877929688,15,27318.901230175088,10,476.6,1023.0,Biking
