id,duration,distance,calories,heart_rate,avg_altitude,max_altitude,ascent,descent,number_of_hills,distance_between_hills,number_of_intervals,average_interval_duration,longest_interval,activity_type
1,3240.0,8869.41,374,117.73749568816834,418.31031380870826,,245.80001831054688,208.20001220703125,1,8868.782051240714,5,274.8,970.0,Biking
1003,6141.0,7465.04,784,139.04455782312925,1082.9579593788199,,835.3999633789062,951.7999267578125,2,7457.3471786897135,2,1401.0,1986.0,Other
1005,2446.0,14747.77,336,120.25573921028466,832.2349653230924,,244.19989013671875,248.19989013671875,1,14745.152002169065,3,326.6666666666667,445.0,Biking
1006,1226.0,3704.14,237,130.04312449145647,546.2239221956208,,97.19989013671875,86.59991455078125,0,3704.14,3,261.3333333333333,504.0,Running
1007,1493.0,5213.6,378,183.64709806537692,595.520480654095,,347.6001281738281,48.800140380859375,4,5210.307535436836,2,512.5,1022.0,Running
1008,9969.0,30477.19,1068,116.92437189134039,568.1292177231211,,1427.4000549316406,1431.8000793457031,13,30471.311121440012,22,229.72727272727272,552.0,Biking
1009,4020.0,27463.65,308,108.4029935046597,594.3774639863276,,290.79974365234375,1233.19970703125,1,27463.64129436892,5,448.2,944.0,Biking
1015,5461.0,5944.48,738,117.1128685803554,966.9374848067505,,656.0000610351562,676.4000854492188,2,5942.404964644691,3,903.6666666666666,1479.0,Other
1017,6691.0,29589.989999999998,2049,179.62863968941318,259.7451095729154,,501.6001281738281,505.6001281738281,5,29589.935304808187,2,3086.5,6158.0,Biking
1020,6840.0,38554.61,1231,142.23702474351236,520.2503318671512,,671.5999755859375,811.0,4,38548.81674547797,9,425.44444444444446,1807.0,Biking
1021,1756.0,16994.7,259,132.66018845700825,439.9724381697332,,152.79995727539062,236.7999267578125,0,16994.7,3,374.6666666666667,976.0,Biking
1025,9948.0,46921.090000000004,1965,128.16231979751294,729.5342779582563,,1445.8001403808594,1449.4001770019531,8,46895.21307250069,8,772.0,2305.0,Biking
1029,2833.0,15599.77,216,106.6231884057971,1012.0922684325135,,73.20037841796875,802.4004516601562,0,15599.77,5,511.4,1075.0,Biking
103,1574.0,9335.97,194,117.80268456375839,26.509798792384615,,124.00000968575478,108.60001197457314,0,9335.97,4,271.5,544.0,Biking
1032,5573.0,32418.16,1333,172.45766056691784,244.52091865005738,,519.6000823974609,511.0000762939453,5,32417.928618882546,2,2446.5,4891.0,Biking
1035,1231.0,7237.16,222,97.15324165029469,86.92927305347676,,75.3999981880188,337.3999981880188,0,7237.16,3,169.0,251.0,Biking
1036,6950.0,32960.55,1310,147.72899408284025,1007.697447378718,,975.0001831054688,971.6001586914062,6,32944.80353074733,7,566.5714285714286,1555.0,Biking
1037,4462.0,23993.11,558,123.22280431432974,534.7007055806397,,472.1999816894531,499.6000061035156,4,23978.730930974503,5,539.4,1349.0,Biking
104,5116.0,6623.82,440,105.45514511873351,662.2019787186997,,375.0000915527344,331.80010986328125,5,6620.965189768928,3,692.3333333333334,2015.0,Other
1040,12182.0,64152.46,2324,141.74622331691296,584.9902793946916,,1747.0001220703125,1738.8001098632812,11,64125.349568137535,13,626.2307692307693,2537.0,Biking
1042,5447.0,38283.54,715,117.99392600773054,467.59390587603644,,513.3999633789062,519.7999267578125,5,38272.274812780706,11,326.09090909090907,632.0,Biking
1043,5074.0,12693.89,687,134.98079306071872,825.8906649211772,,357.00006103515625,365.2000732421875,3,12687.000458626022,5,635.4,2123.0,Biking
1046,11272.0,57395.46,1538,129.94753369095903,440.83482916848317,,743.3996887207031,731.3996887207031,5,57390.60109642427,7,663.7142857142857,1901.0,Biking
1048,7392.0,39428.18,1157,133.39947126756644,777.3713453321766,,1155.3999633789062,1132.199951171875,6,39409.335996535665,10,481.6,1483.0,Biking
1050,11083.0,67921.8,1127,111.04078139160205,41.46849261154948,,790.1999993771315,629.4000020474195,7,67912.49325299359,11,542.5454545454545,1418.0,Biking
1051,2228.0,16653.47,242,122.5589164785553,39.36650116364251,,232.7999196201563,425.19991923868656,0,16653.47,4,308.75,790.0,Biking
1054,1629.0,6530.55,362,169.84846368715083,735.8944126747174,,518.2000732421875,11.40008544921875,1,6528.666366722507,3,414.3333333333333,697.0,Biking
1056,13175.0,94398.92,2352,139.80214072091925,427.88691088989947,,1506.0000305175781,1500.8000183105469,11,94381.82687308051,16,550.75,1933.0,Biking
1059,4299.0,34668.77,719,134.5062625250501,359.13061109095634,,487.4000244140625,417.20001220703125,0,34668.77,6,446.5,2002.0,Biking
106,3493.0,12277.22,296,116.73935617860852,165.63800624003662,,247.79998779296875,236.59999084472656,0,12277.22,7,217.71428571428572,721.0,Biking
1060,4110.0,28665.32,462,122.35893536121672,414.73855533962467,,234.79998779296875,222.79998779296875,2,28662.44118004064,4,535.25,968.0,Biking
1065,8263.0,27139.6,1440,140.26679434295815,740.4310475709229,,796.3998413085938,795.9998779296875,10,27131.260901523437,8,520.875,1593.0,Biking
1066,9503.0,74001.05,1841,132.24307986000636,526.0973167763319,,1542.3999328613281,1543.3999328613281,11,73981.44785193562,13,479.9230769230769,1971.0,Biking
1067,6954.0,52559.34,961,105.84013262217097,469.098803573681,,1540.4002380371094,1539.0002746582031,5,52556.74477038063,8,585.5,2094.0,Biking
1068,5451.0,10630.32,603,144.50766283524905,301.44380580663375,,436.60003662109375,416.2000427246094,4,10626.513913938137,9,243.22222222222223,883.0,Biking
1069,8704.0,18285.19,932,124.56143871565298,840.5235874591767,,564.999755859375,576.7997436523438,7,18283.4102278741,13,306.2307692307692,1008.0,Biking
107,10476.0,67671.04,813,112.36880566339347,26.527700394466876,,490.7999903559685,462.99999111890793,5,67661.75595600728,11,673.0,2116.0,Biking
1071,5980.0,23966.28,742,136.23564853556485,847.6677487578452,,759.8003540039062,790.400390625,10,23955.266453911565,10,376.3,1743.0,Biking
1072,8709.0,11648.69,656,105.38400488400488,921.739498152401,,800.2000122070312,800.6000366210938,2,11646.217740039068,5,1059.4,4485.0,Other
1073,11464.0,48386.87,1012,140.86678383128296,441.85405974966363,,970.9996643066406,962.3996276855469,11,48373.161379789075,14,240.78571428571428,1097.0,Biking
1074,1645.0,8893.11,126,99.14202898550725,382.4211260164871,,73.20004272460938,44.60003662109375,0,8893.11,4,281.5,627.0,Biking
1076,7935.0,51287.56,1302,140.70722945666816,533.1806315487863,,747.5999755859375,733.7999877929688,3,51276.01205922106,7,577.1428571428571,1296.0,Biking
1078,827.0,9592.23,204,177.60900473933648,313.23696660769497,,14.79998779296875,12.0,0,9592.23,2,368.0,391.0,Biking
1079,3192.0,7839.74,389,140.33709356337093,231.19946909741842,,274.1999816894531,277.1999816894531,4,7836.476960835525,5,210.4,559.0,Biking
1080,612.0,4881.58,152,179.69657422512236,337.2763454319019,,24.99993896484375,20.99993896484375,0,4881.58,2,129.0,196.0,Biking
1082,3597.0,14533.33,506,126.40552453717308,565.7703204024655,,725.3995361328125,669.1995849609375,6,14521.054145317432,7,301.2857142857143,802.0,Biking
1084,1215.0,3676.35,199,130.48397699260477,545.5296628853289,,69.8001708984375,78.400146484375,0,3676.35,2,381.5,506.0,Running
1085,6723.0,53674.46,852,137.0258818140174,361.5032490326556,,240.19973754882812,237.5997314453125,1,53669.27535630686,10,264.5,1175.0,Biking
1086,10434.0,66057.08,2106,158.90560245587108,190.1673473615041,,1699.800117135048,1703.4001170396805,11,66055.17899566198,15,489.8666666666667,1942.0,Biking
1089,3151.0,11954.14,317,128.75658279695728,825.6947932904613,,356.9998779296875,231.39990234375,6,11946.759873040997,4,293.5,812.0,Biking
1091,8227.0,61595.689999999995,1575,139.2229437229437,453.558696027017,,1321.8000793457031,1311.4000854492188,7,61585.68810237284,10,404.2,1219.0,Biking
1093,6811.0,34737.69,921,132.37249328912048,1011.5553446326534,,958.9998779296875,958.5999145507812,10,34722.65756918711,6,524.0,2003.0,Biking
1094,13172.0,109993.06,1910,151.32920844890123,425.5656494830803,,1618.99951171875,1621.99951171875,6,109981.44118522144,12,687.75,2460.0,Biking
1095,2373.0,14607.38,209,116.95342588446037,-40.718677380176345,,107.59999942779541,108.1999979019165,1,14603.868761005104,4,432.5,893.0,Biking
1097,10043.0,79112.9,1807,135.23181357649443,52.78195958268913,,1190.6000238358974,1183.6000238358974,9,79100.77524034995,14,403.57142857142856,945.0,Biking
1098,9813.0,57693.9,1617,132.92586700604517,449.6871780555718,,942.8001403808594,949.0001525878906,7,57676.321167705966,13,504.6923076923077,1340.0,Biking
11,4791.0,27372.01,1031,127.35751620321973,807.7649835704364,,807.7998657226562,799.9998779296875,5,27358.658133866593,4,780.0,1619.0,Biking
1100,9995.0,72826.27,1326,135.99596022374146,507.08932091226643,,1266.7997436523438,1286.3997497558594,7,72803.32846432814,16,350.3125,1312.0,Biking
1101,9987.0,49183.71,1784,134.4099673374776,914.7621954171427,,1580.8001708984375,1579.6001586914062,7,49164.05475280356,9,745.2222222222222,3842.0,Biking
1102,5507.0,67145.64,1059,141.36998541210795,414.54438389973603,,809.9998168945312,810.7998352050781,7,67132.00961920554,9,347.77777777777777,1079.0,Biking
1103,8865.0,11311.31,877,107.1513958067879,934.4533536149441,,847.7999267578125,850.199951171875,6,11307.593208534685,3,1429.0,4082.0,Other
1104,11921.0,26202.61,1168,114.98895966029724,380.4946691320592,,1110.7999877929688,755.9999694824219,10,26195.657502275833,8,692.375,1304.0,Biking
1106,690.0,8202.21,198,176.59109311740892,301.06275254222544,,98.59994506835938,98.199951171875,0,8202.21,2,164.0,253.0,Biking
1108,1477.0,7050.45,87,93.08124576844956,330.5610023452046,,34.0,29.79998779296875,0,7050.45,3,355.0,612.0,Biking
1109,1904.0,5403.34,329,143.75315789473683,543.9662098774157,,208.1995849609375,205.599609375,0,5403.34,3,451.0,850.0,Running
111,7529.0,18956.97,790,118.9547772866372,49.78320301144008,,291.60000009834766,288.7999999076128,2,18948.74490066705,8,370.25,1235.0,Biking
1111,12256.0,88482.71,2503,138.74723710649698,618.5910247245732,,2298.8009338378906,2303.6009216308594,24,88419.0646391544,13,583.4615384615385,1877.0,Biking
1112,8799.0,70068.84,980,140.7176567269312,378.04275655287427,,549.1996459960938,518.7996215820312,0,70068.84,8,650.625,2093.0,Biking
1114,4119.0,10361.48,179,100.47951807228915,699.8537351309535,,237.800048828125,237.800048828125,0,10361.48,4,723.5,1581.0,Biking
1116,14410.0,28395.72,631,125.1559424678274,352.5236941040871,,416.6001739501953,527.4001922607422,1,28395.220309075263,3,861.0,2176.0,Biking
1118,7321.0,46900.42,599,110.6284301212508,386.90640269912745,,393.4004211425781,387.4004211425781,1,46899.564189121695,10,437.0,1429.0,Biking
1119,2947.0,8256.11,840,121.10450819672131,657.5997954300844,,425.79998779296875,61.39996337890625,5,8251.713592108008,4,562.25,1552.0,Biking
1120,5592.0,21789.260000000002,1365,139.3904245709124,677.3038117750766,,1162.3999938964844,1172.0,10,21775.050167448317,9,300.8888888888889,750.0,Biking
1121,10791.0,64088.34,2368,143.11693394425353,819.7197023983811,,2362.2008361816406,2349.8008422851562,21,64041.17350153524,8,803.375,3045.0,Biking
1123,10025.0,73623.61,1889,143.43302949061663,497.8686677775514,,1296.8001403808594,1294.8001403808594,12,73587.58866491116,10,641.7,2415.0,Biking
1124,4346.0,31351.07,669,143.96618357487924,459.59857382729376,,427.19976806640625,475.19976806640625,3,31342.68465622144,5,608.8,2281.0,Biking
1126,3544.0,13610.06,1047,175.87492941840767,131.40875207738375,,374.80001068115234,330.40000915527344,5,13609.412225566879,4,760.5,2495.0,Biking
1127,8850.0,60805.369999999995,1306,135.41707717569787,388.1582923768059,,627.9999389648438,634.9999389648438,0,60805.369999999995,5,932.2,2047.0,Biking
1129,12138.0,59183.10999999999,1616,131.5474794841735,706.9327773890489,,1926.3999938964844,1918.6000061035156,16,59148.43383262875,19,302.94736842105266,657.0,Biking
1135,11289.0,90212.19,1516,142.42740046838406,32.82950820381245,,747.6000442504883,741.4000434875488,8,90205.44591732133,8,659.5,3484.0,Biking
1136,6588.0,31780.85,704,118.62327642810243,511.33335509772996,,629.3999328613281,664.5999450683594,6,31769.910574727874,8,435.0,1513.0,Biking
1137,3948.0,29242.89,410,116.78059071729957,434.74660353519744,,218.39956665039062,208.59957885742188,2,29241.974822262204,4,584.5,1378.0,Biking
1140,17806.0,14227.170000000002,1304,107.37520281233098,1009.2153736091808,,1309.198974609375,1344.3989562988281,15,14213.695061164248,5,1816.4,6166.0,Other
1141,5157.0,23625.379999999997,684,130.0977512620468,627.0610366408132,,807.0000915527344,802.8001098632812,4,23615.76328747517,7,385.7142857142857,931.0,Biking
1142,1002.0,6234.06,167,130.03923541247485,639.7869203747878,,154.20025634765625,152.00030517578125,2,6233.484876580793,2,251.5,299.0,Biking
1144,1656.0,80.42,222,136.47266881028938,1007.6906883509596,,23.20001220703125,15.4000244140625,0,80.42,3,227.0,567.0,Biking
