id,duration,distance,calories,heart_rate,avg_altitude,max_altitude,ascent,descent,number_of_hills,distance_between_hills,number_of_intervals,average_interval_duration,longest_interval,activity_type
1,8424.0,65452.07,1099,145.52691882937603,136.425842586372,,185.60000610351562,183.8000030517578,0,65452.07,6,582.3333333333334,2011.0,Biking
10,6862.0,43613.96,853,135.11498470948013,168.59816416702503,,28.0,25.599990844726562,0,43613.96,10,485.3,3234.0,Biking
101,3774.0,1792.2500000000002,388,117.78461538461538,191.60246760441706,,0,0.399993896484375,0,1792.2500000000002,2,1617.0,3234.0,Biking
102,8108.0,45200.36,921,145.4080944350759,153.9065773134623,,153.79998779296875,154.59999084472656,0,45200.36,5,779.0,1678.0,Biking
103,8486.0,72657.32,977,126.8586075345732,178.3840466355163,,70.4000244140625,69.80003356933594,0,72657.32,4,1938.75,6109.0,Biking
104,5560.0,44050.64,666,127.40735374026444,161.17083702923443,,17.800003051757812,15.599990844726562,0,44050.64,2,2653.0,5269.0,Biking
105,31676.0,93115.48,1677,141.6517874396135,217.6044057888455,,806.3999176025391,807.1999206542969,9,93113.55686777845,9,979.5555555555555,2680.0,Biking
106,12163.0,103228.18,1659,158.65608337372757,110.63727615252895,,445.19996643066406,441.19996643066406,2,103223.19226860574,11,474.8181818181818,750.0,Biking
108,39639.0,116803.36,1989,139.97094468614046,311.23778726211464,,1069.4000549316406,1141.4000549316406,13,116767.3266037321,13,699.9230769230769,2833.0,Biking
109,6993.0,38452.11,681,136.18455301898868,132.20601719977736,,74.99998474121094,72.19998168945312,0,38452.11,6,660.0,1863.0,Biking
11,5909.0,45250.49,936,148.6135873472322,218.98519052249077,,529.7999267578125,534.3999176025391,4,45240.17578138755,9,483.44444444444446,1588.0,Biking
112,4372.0,39618.92,716,144.75229147571036,156.43189803489733,,38.79998779296875,35.199981689453125,0,39618.92,4,692.25,1833.0,Biking
114,22399.0,171226.8,2860,150.29622632369328,292.2154337180733,,1985.1999816894531,1987.3999786376953,14,171201.82854287286,11,1083.1818181818182,4645.0,Biking
116,7121.0,59598.149999999994,1114,152.39320835894284,223.76133905984025,,190.20004272460938,184.0000457763672,1,59593.12432050263,5,729.2,1476.0,Biking
117,5741.0,52462.0,901,143.52387615882455,162.73318215343988,,23.599990844726562,31.79998779296875,0,52462.0,2,2641.0,5275.0,Biking
12,3100.0,22387.71,496,150.22721437740694,159.98434062365237,,12.399993896484375,6.1999969482421875,0,22387.71,6,275.8333333333333,326.0,Biking
120,4184.0,599.1200000000001,768,155.16103896103897,95.0067532031567,,6.1999969482421875,0,0,599.1200000000001,4,588.75,595.0,Biking
121,8754.0,80794.46,1288,152.87478108581436,260.10963207897356,,423.0000305175781,427.40003967285156,3,80790.00198996955,9,466.3333333333333,1375.0,Biking
124,14490.0,67312.81,1365,144.18525724167748,212.83194966198715,,968.1998901367188,982.1998901367188,8,67270.62593421801,9,407.3333333333333,926.0,Biking
125,8334.0,61642.88,1126,142.9606037349706,258.851778324622,,731.199951171875,725.199951171875,5,61628.86913251289,10,492.2,1667.0,Biking
126,6713.0,53852.31,975,143.9299401197605,152.66347270668624,,105.39997863769531,94.99998474121094,0,53852.31,3,1831.3333333333333,3991.0,Biking
13,3793.0,29527.18,437,124.14781746031746,237.22380895463246,,59.00001525878906,57.60002136230469,0,29527.18,2,1791.5,3436.0,Biking
130,3040.0,22260.98,336,189.0125156445557,290.8443065352076,,66.19998168945312,62.199981689453125,0,22260.98,2,893.5,1544.0,Biking
131,6045.0,44629.85,962,149.69672637430511,164.95565169383303,,614.9999847412109,638.9999847412109,6,44597.69289772947,8,544.25,1839.0,Biking
133,6448.0,51157.01,842,137.5554632322393,174.32189507161527,,307.8000030517578,308.8000030517578,2,51142.88984553472,8,424.25,2064.0,Biking
134,14553.0,100888.24,1953,152.54202322738385,505.31350889415785,,1253.7999877929688,1205.1999969482422,5,100838.36174744087,10,661.6,3519.0,Biking
135,8340.0,7825.4,1077,156.51406844106464,653.2075007922506,,830.7999877929688,644.1999816894531,3,7821.346434028153,5,581.6,2281.0,Biking
136,22612.0,167629.16000000003,2792,142.0109208699676,309.97348502043053,,2211.999801635742,2199.1998138427734,14,167567.04269897717,12,1228.0833333333333,4288.0,Biking
138,4933.0,41123.88,657,134.46251035625517,191.20327230989193,,40.80000305175781,40.80000305175781,0,41123.88,3,1446.3333333333333,2654.0,Biking
139,7065.0,43972.53,710,124.38284734133791,180.59550546217537,,55.399993896484375,145.1999969482422,0,43972.53,4,1101.0,2513.0,Biking
14,77504.0,79318.28,1552,173.6692542931075,391.66290243001185,,798.4000854492188,848.4000854492188,23,79283.2675305983,18,286.0,1030.0,Biking
140,10809.0,76887.67,1484,146.56613372093022,531.520130465197,,1161.2000427246094,1121.2000427246094,6,76842.03411353558,10,469.5,2440.0,Biking
142,17180.0,125720.96,2132,147.5200997195388,277.7814895282768,,1711.0001220703125,1709.400131225586,13,125670.64892108939,18,454.22222222222223,1516.0,Biking
145,3087.0,1682.39,494,161.82227784730912,178.59073620773526,,57.99993896484375,73.79994201660156,0,1682.39,5,237.8,620.0,Biking
146,5065.0,40284.72,759,143.99934725848564,52.10208882862221,,86.39999389648438,79.19999313354492,0,40284.72,7,293.7142857142857,1110.0,Biking
148,4296.0,28952.29,558,140.02279484638257,199.32546977410823,,36.600006103515625,44.0,0,28952.29,6,259.1666666666667,476.0,Biking
150,5544.0,25843.7,330,116.77876106194691,170.72145949844764,,44.99998474121094,42.79998779296875,0,25843.7,2,899.5,1428.0,Biking
151,4421.0,24618.74,580,138.34505585436492,58.553909732405685,,470.5999891757965,479.9999907016754,2,24613.810467085317,9,254.44444444444446,696.0,Biking
152,4842.0,35182.939999999995,874,151.5131494547787,194.74881344563386,,300.20005798339844,232.20005798339844,1,35182.91889330089,3,1332.6666666666667,3038.0,Biking
156,13442.0,103675.33,1553,141.02113628677714,183.8420867674811,,416.60003662109375,441.6000442504883,3,103653.10350586305,10,636.4,1915.0,Biking
